Wall time,Step,Value
1682992828.0561934,500,2.3117001056671143
1682993546.841824,1000,0.6754999756813049
1682994267.3318202,1500,0.5997999906539917
1682995139.5694585,2000,0.5511000156402588
1682995839.9265177,2500,0.5146999955177307
1682996541.0443234,3000,0.4860999882221222
1682997403.988104,3500,0.45260000228881836
1682998105.5249014,4000,0.43290001153945923
1682998821.711932,4500,0.41019999980926514
1682999697.3195674,5000,0.3840999901294708
1683000412.384799,5500,0.36730000376701355
