Wall time,Step,Value
1682875307.2885425,500,5.516600131988525
1682876117.3315313,1000,0.048500001430511475
1682876923.1623218,1500,0.04089999943971634
1682877920.206993,2000,0.03449999913573265
1682878728.3282473,2500,0.030300000682473183
1682879548.309827,3000,0.025599999353289604
1682880553.453109,3500,0.020500000566244125
1682881374.238035,4000,0.01850000023841858
1682882191.4456394,4500,0.015699999406933784
1682883202.6379573,5000,0.013100000098347664
1682884021.1063344,5500,0.012799999676644802
