Wall time,Step,Value
1683002887.8382146,500,2.356800079345703
1683003606.7849472,1000,0.7576000094413757
1683004325.4847605,1500,0.6777999997138977
1683005217.3765905,2000,0.6205999851226807
1683005931.1548023,2500,0.5856000185012817
1683006641.15543,3000,0.544700026512146
1683007514.0538852,3500,0.5116999745368958
1683008229.1266105,4000,0.48919999599456787
1683008943.2462296,4500,0.4629000127315521
1683009823.1507246,5000,0.43549999594688416
1683010530.9277866,5500,0.4180000126361847
